Barrio,Edad,Sexo,Mes,Dia,Hora
ALTOS DEL CAMPO,-0.14588076527232785,-1.7849890685309087,-0.25824973146455193,-0.050083563807347575,-0.06857030392254956
ANGANOY,-0.08609902578638975,-0.3256963734742058,-0.16817914893616115,-0.03463793312753126,-0.08528593868758502
ANGONOY,-0.4123495294440553,-0.5281874750419477,-0.4320405482523596,-0.1573779704594789,0.15990726201782676
ANTONIO NARIÑO,-0.12830696028288366,-1.6782799570153535,-0.3273161929096912,-0.17839397689906394,-0.11059511194160589
AQUINE ALTO,-0.11978621335646249,-1.0785706362521594,-0.13174945659147894,-0.08731705859406282,-0.0947753782004856
AQUINE ALTO I,-0.16020434549119184,0.04722446420834821,-0.39078012227405684,-0.12013241108645441,-0.13317843968991022
AQUINE ALTO II,-0.18503082507340615,-1.741503275035485,-0.1474692673636611,-0.07105784445487734,-0.15442625850623642
AQUINE I,-0.0894801553438338,-0.8385119849104056,-0.13772238800919548,-0.06439905408986947,-0.0920625662855695
AQUINE II,-0.1294516770034404,-0.7490892528593092,-0.37014127156279425,-0.15173713513140122,-0.08255171255497104
AQUINE III,-0.12096072795740548,-1.2584647485276512,-0.17251199454500712,-0.10831362785308704,-0.08749184588055316
AQUINE RESERVADO,-0.12871242028270308,-0.6614319246643567,-0.35646400857274047,-0.10724532286671423,-0.11198153249982264
ARANDA,-0.10454001419692145,-0.31271904133787976,-0.12153242578169185,-0.05513401445013986,-0.05812339239942478
ARCO IRIS,-0.15638049679255522,-1.718006468022165,-0.24022539821789907,-0.06418197859212058,-0.08666292893166629
ARNULFO GUERRERO,-0.13619966760125138,-0.16835816296134432,-0.19894515217822833,-0.08003190768938664,-0.03770638793099147
ATAHUALPA,-0.09845815537021846,-1.0442505763884562,-0.13262264250047395,-0.05080749612239964,-0.0949038453590955
AURORA,-0.08730451168868837,-1.3328771657480518,-0.12548029857204512,-0.08133888437360938,-0.06774801589329606
AV. CHAMPAGNAT,-0.0539105268406717,-0.6581225209644858,-0.19512680347534964,-0.06621724152770904,-0.07957036595903158
AV. ECUADOR,-0.20217500836905047,-0.2038308825491299,-0.11889778379294011,-0.07273419772717522,-0.134777060005877
AV. ESTUDIANTES,-0.06168682480435734,-0.7112896054065038,-0.19661274424096045,-0.052943080659463015,-0.08871719660922478
AV. LAS AMERICAS,-0.049719513902064104,-0.5417451832341987,-0.11737128078408274,-0.03924360273270722,-0.06791693848776453
AV. SANTANDER,-0.07615236751613619,-0.7444394815710439,-0.1564954723353842,-0.07200296296974043,-0.091517825023959
AVENIDA ARANDA,-0.14897955038864727,-0.9331645555939582,-0.22850825325619722,-0.0656867108556407,-0.09527021938012342
AVENIDA BOYACA,-0.07354314621615617,-1.007648746571768,-0.13545083087584936,-0.04186967724271302,-0.05252294824523415
AVENIDA CHILE,-0.08513651779010216,-0.7140522424185578,-0.17359409101332454,-0.07844866068964011,-0.09417719281260022
AVENIDA COLOMBIA NORMANDIA,-0.09447544256565238,-0.12438746031657617,-0.10473902865767652,-0.040210457794792334,-0.07289280498589185
AVENIDA IDEMA,-0.06948184643777788,-0.9387458418153838,-0.19579292691551273,-0.07269263423640555,-0.09016261160646127
AVENIDA LIBERTAD,-0.1762561978425654,-15.146561616421499,-1.5886396261019222,0.0025331971360643838,-0.037940011882988234
AVENIDA ORIENTAL,-0.18496257582641285,-1.0775617845167902,-0.44437267998633384,-0.05935490719124153,-0.11275941863677352
AVENIDA PANAMERICANA,-0.08796146442858048,-0.9414610607740306,-0.12476185504889759,-0.06011300654521222,-0.08578118328130949
AVENIDA PASTO,-0.11305063545482863,-0.9573501656751082,-0.56610550681491,-0.08864119901016007,-0.19774956017778825
BACHUE,-0.09719128165502733,-0.7547467790333213,-0.11506232931410941,-0.06979560275165737,-0.08194474636176893
BALCONES,-0.11476690328750953,-0.330470424940428,-0.16544898670298283,-0.07676782906012271,-0.13107760259640652
BARRIO FATIMA,0.12502814265669146,-17.670376431965266,-10.46683095800991,-0.034035937410346176,-0.27382823753097063
BAVARIA,-0.13767469165466303,-15.565035923112566,-11.85631766937429,0.03451518390028461,0.47244601882595455
