,Departamento,Capital,Barrio,long,lat
217,TOLIMA,IBAGUÉ (CT),RINCON DE LA CAMPIÑA,-75.1885123,4.4413401
218,TOLIMA,IBAGUÉ (CT),SAN SIMON PARTE BAJA (3),-75.27967563150935,4.4246692
220,TOLIMA,IBAGUÉ (CT),REMANSOS,-75.1881932,4.436189700000001
221,TOLIMA,IBAGUÉ (CT),ALFONSO LOPEZ,-75.21563309999999,4.4407625
222,TOLIMA,IBAGUÉ (CT),VILLA TERESA,-75.21626917234195,4.43913065
224,TOLIMA,IBAGUÉ (CT),EL TRIUNFO,-75.20734562614314,4.47045365
226,TOLIMA,IBAGUÉ (CT),NACIONES UNIDAS,-75.21988872150685,4.42989115
228,TOLIMA,IBAGUÉ (CT),CAÑAVERAL,-75.18541054502714,4.4502161000000005
229,TOLIMA,IBAGUÉ (CT),LIMONAR V SECTOR,-75.20756300000001,4.4379952000000005
231,TOLIMA,IBAGUÉ (CT),VILLA MARINA,-75.15408547857143,4.4606706
232,TOLIMA,IBAGUÉ (CT),LAS ACACIAS,-75.2211791,4.4420851
235,TOLIMA,IBAGUÉ (CT),METAIMA I,-75.21323646219656,4.4330115999999995
236,TOLIMA,IBAGUÉ (CT),AMBALA (URB.),-75.2011682,4.454511
240,TOLIMA,IBAGUÉ (CT),PARQUE DEPORTIVO,-75.18326718575949,4.42722775
242,TOLIMA,IBAGUÉ (CT),IBAGUE 2000,-75.2430012,4.4446595
248,TOLIMA,IBAGUÉ (CT),CLARITA BOTERO,-75.2361693,4.4581861
253,TOLIMA,IBAGUÉ (CT),LA CIMA,-75.1701875,4.434246
256,TOLIMA,IBAGUÉ (CT),LOS PINOS,-75.2428801,4.3526748
258,TOLIMA,IBAGUÉ (CT),FENALCO,-75.2228572,4.4444752
260,TOLIMA,IBAGUÉ (CT),TIERRA LINDA DEL VERGEL,-75.1885825877078,4.4471237499999985
262,TOLIMA,IBAGUÉ (CT),PIJAO,-75.2107265,4.4430252
263,TOLIMA,IBAGUÉ (CT),ONZAGA,-75.2081255,4.4446275
265,TOLIMA,IBAGUÉ (CT),LAS MARGARITAS (5),-75.18560427843619,4.440842400000001
270,TOLIMA,IBAGUÉ (CT),EL POBLADO,-75.17699565593948,4.4162797000000005
273,TOLIMA,IBAGUÉ (CT),NUEVA CASTILLA,-75.1621838,4.4363212
274,TOLIMA,IBAGUÉ (CT),LA CAMPIÑA,-75.1911309,4.4422504
276,TOLIMA,IBAGUÉ (CT),EL LIMON,-75.20624649999999,4.322297
277,TOLIMA,IBAGUÉ (CT),VILLA MARLEN 1,-75.2088107,4.4365747
278,TOLIMA,IBAGUÉ (CT),MIRAMAR,-75.25266159361695,4.4238103
283,TOLIMA,IBAGUÉ (CT),CUTUCUMAY,-75.1905373,4.4380727
295,TOLIMA,IBAGUÉ (CT),PAPAYO,-75.206728813497,4.4298350499999986
297,TOLIMA,IBAGUÉ (CT),SANTA RITA,-75.1431178,4.4173264
298,TOLIMA,IBAGUÉ (CT),PACANDE,-75.18692244012463,4.42642825
300,TOLIMA,IBAGUÉ (CT),VILLA ARKADIA,-75.20625086875906,4.42998395
301,TOLIMA,IBAGUÉ (CT),EL PRADO,-75.2430012,4.4446595
303,TOLIMA,IBAGUÉ (CT),LA HONDA,-75.19374276466998,4.4269695
308,TOLIMA,IBAGUÉ (CT),AMBICAIMA,-75.1451734233857,4.45194895
309,TOLIMA,IBAGUÉ (CT),EL OASIS,-75.24541040000001,4.430083
313,TOLIMA,IBAGUÉ (CT),LA CAROLINA,-75.2430012,4.4446595
