,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
250454,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,29,MASCULINO,12,23,11
253998,VICHADA,PUERTO CARREÑO (CT),CALARCA,-,MASCULINO,12,29,3
1500,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,-,MASCULINO,01,03,9
6696,VICHADA,PUERTO CARREÑO (CT),ACACIAS,-,FEMENINO,01,11,23
17684,VICHADA,PUERTO CARREÑO (CT),CALARCA,65,MASCULINO,01,26,14
27945,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,-,FEMENINO,02,08,13
33675,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,34,MASCULINO,02,15,20
34587,VICHADA,PUERTO CARREÑO (CT),TAMARINDO,33,FEMENINO,02,16,18
34588,VICHADA,PUERTO CARREÑO (CT),LA FLORIDA,-,FEMENINO,02,16,20
36010,VICHADA,PUERTO CARREÑO (CT),ALCARAVAN,-,FEMENINO,02,18,22
39457,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,19,FEMENINO,02,22,19
44322,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,49,FEMENINO,02,28,17
45322,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,-,MASCULINO,03,01,10
50677,VICHADA,PUERTO CARREÑO (CT),ACEITICO,30,MASCULINO,03,07,13
71455,VICHADA,PUERTO CARREÑO (CT),CALARCA,-,MASCULINO,04,01,0
82817,VICHADA,PUERTO CARREÑO (CT),VIRGILIO BARCO,38,FEMENINO,04,15,19
84281,VICHADA,PUERTO CARREÑO (CT),GAITAN,41,FEMENINO,04,17,11
93243,VICHADA,PUERTO CARREÑO (CT),SIMON BOLIVAR,64,MASCULINO,04,29,8
93244,VICHADA,PUERTO CARREÑO (CT),SIMON BOLIVAR,65,MASCULINO,04,29,8
94242,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,67,MASCULINO,04,30,0
94243,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,67,MASCULINO,04,30,0
112384,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,25,FEMENINO,05,22,10
122743,VICHADA,PUERTO CARREÑO (CT),MATEO,19,MASCULINO,06,04,0
123594,VICHADA,PUERTO CARREÑO (CT),ACACIAS,16,MASCULINO,06,05,18
125328,VICHADA,PUERTO CARREÑO (CT),CALARCA,26,FEMENINO,06,07,20
126166,VICHADA,PUERTO CARREÑO (CT),MATEO,18,MASCULINO,06,08,0
126167,VICHADA,PUERTO CARREÑO (CT),SIMON BOLIVAR,56,FEMENINO,06,08,0
126667,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,25,FEMENINO,06,09,0
129188,VICHADA,PUERTO CARREÑO (CT),LA FLORIDA,84,MASCULINO,06,12,4
130007,VICHADA,PUERTO CARREÑO (CT),SIMON BOLIVAR,57,FEMENINO,06,13,9
134304,VICHADA,PUERTO CARREÑO (CT),SANTA HELENITA,30,FEMENINO,06,18,19
134305,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,47,FEMENINO,06,18,15
135945,VICHADA,PUERTO CARREÑO (CT),PUNTA DE LAJA,16,FEMENINO,06,20,13
138172,VICHADA,PUERTO CARREÑO (CT),PUNTA DE LAJA,36,FEMENINO,06,23,18
142997,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,52,MASCULINO,06,29,18
143694,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,42,FEMENINO,06,30,19
155847,VICHADA,PUERTO CARREÑO (CT),SANTA TERESITA,19,FEMENINO,07,15,2
162847,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,33,FEMENINO,07,24,15
163738,VICHADA,PUERTO CARREÑO (CT),CALARCA,24,FEMENINO,07,25,6
172231,VICHADA,PUERTO CARREÑO (CT),ARTURO BUENO,19,FEMENINO,08,04,9
174050,VICHADA,PUERTO CARREÑO (CT),SIMON BOLIVAR,31,FEMENINO,08,06,0
176582,VICHADA,PUERTO CARREÑO (CT),CALARCA,39,FEMENINO,08,09,14
182755,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,15,FEMENINO,08,16,22
189313,VICHADA,PUERTO CARREÑO (CT),LA FLORIDA,30,FEMENINO,08,24,19
200454,VICHADA,PUERTO CARREÑO (CT),VILLA CLAUDIA,33,FEMENINO,09,06,0
201374,VICHADA,PUERTO CARREÑO (CT),CALARCA,33,MASCULINO,09,07,10
201375,VICHADA,PUERTO CARREÑO (CT),SIMON BOLIVAR,19,FEMENINO,09,07,20
201954,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,27,MASCULINO,09,08,17
217181,VICHADA,PUERTO CARREÑO (CT),CALARCA,65,MASCULINO,09,26,0
220565,VICHADA,PUERTO CARREÑO (CT),SIMON BOLIVAR,36,FEMENINO,09,30,13
222440,VICHADA,PUERTO CARREÑO (CT),ACACIAS,20,MASCULINO,10,02,21
230148,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,33,MASCULINO,10,11,5
232962,VICHADA,PUERTO CARREÑO (CT),CALARCA,67,MASCULINO,10,15,0
236892,VICHADA,PUERTO CARREÑO (CT),CALARCA,31,FEMENINO,10,19,16
247122,VICHADA,PUERTO CARREÑO (CT),CALARCA,61,FEMENINO,10,31,0
248135,VICHADA,PUERTO CARREÑO (CT),ACACIAS,35,FEMENINO,11,01,14
249862,VICHADA,PUERTO CARREÑO (CT),CALARCA,40,MASCULINO,11,03,1
266856,VICHADA,PUERTO CARREÑO (CT),CALARCA,33,FEMENINO,11,22,0
272807,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,30,MASCULINO,11,29,20
272808,VICHADA,PUERTO CARREÑO (CT),CALARCA,29,FEMENINO,11,29,0
275874,VICHADA,PUERTO CARREÑO (CT),CALARCA,52,FEMENINO,12,02,17
278702,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,27,MASCULINO,12,05,9
290573,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,29,MASCULINO,12,18,21
292395,VICHADA,PUERTO CARREÑO (CT),LA PLAZUELA,30,MASCULINO,12,20,11
298252,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,31,MASCULINO,12,28,3
299038,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,48,MASCULINO,12,29,14
301770,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,23,MASCULINO,12,31,6
