Barrio,Edad,Sexo,Mes,Dia,Hora
ALTO SANTA ISABEL E19,-0.05942121548823654,-2.7441587298864443,-0.12598451026375118,-0.06552564155752336,-0.10211331884056028
ALTOS DE MENGA E2,-0.0689334927619929,-1.619722771986551,-0.16901274770466615,-0.05371379238220033,-0.08531114719800595
ANGEL DEL HOGAR E7,-0.058986501929893714,-1.0394273055731686,-0.14350765035623536,-0.04982054152619985,-0.07480885861178059
ANTONIO NARIÑO E16,-0.05058167965367144,-0.7598145905631283,-0.12308397370589755,-0.04134492407002345,-0.07495801937959977
ARANJUEZ E9,-0.05131302129264332,-1.3257456273114958,-0.12535685474774738,-0.043987712439614544,-0.07808290141074466
ARBOLEDAS E2,-0.06240855169453288,-1.8014350611308385,-0.17210078976776896,-0.05648012255737576,-0.10334752948519993
ASPROSOCIAL - DIAMANTE E13,-0.06579743290647515,-2.894837452638932,-0.19421430322032932,-0.08781660180697938,-0.08092794561565081
ASTURIAS E12,-0.07174985445541417,-1.4136560995881908,-0.15699482273750018,-0.060715418527528854,-0.08195733231541595
ATANASIO GIRARDOT E8,-0.03472955387467978,-1.3676387606971068,-0.16480667081253952,-0.044071426429405335,-0.07709603406213686
BASE AEREA E7,-0.09450454552488417,-1.4627248566672677,-0.1906135211418965,-0.061127173317229416,-0.0795255576764681
BELALCAZAR E24,-0.07708852942746622,-1.8738985065032825,-0.15938190321518503,-0.06819639835613348,-0.10892039822915478
BELALCAZAR E9,-0.04983660649166604,-0.8895297477556801,-0.14074186560026547,-0.04280029312683708,-0.07732074703151372
BELEN (23-S-2-1),-0.3002009456676788,-0.22017214292378035,-0.1752094377544494,0.05825951741729129,-18.93597902292456
BELEN E20,-0.06047680044369879,-1.6147743282451292,-0.12546664050578027,-0.04222287127163043,-0.1075496366184861
BELISARIO CAICEDO E20,-0.04738935464527301,-1.6942684834481496,-0.13507258079908327,-0.04480353955236343,-0.06493661951797432
BELLAVISTA E19,-0.0624459696710896,-1.2174321052705372,-0.16829212599746307,-0.047676891033946504,-0.07287623086884773
BELLO HORIZONTE E12,-0.07988939625415617,-2.126400792130868,-0.19615022609756844,-0.04348475865604638,-0.1371073729851719
BENJAMIN HERRERA E8,-0.05059527559403845,-1.1923144153059932,-0.12527744774071262,-0.038971426797037925,-0.09498978487846543
BOLIVARIANO E4,-0.04836620149262968,-1.632735111203518,-0.13948394221270302,-0.03705561207587438,-0.11746194915561585
BOSQUE MUNICIPAL E19,-0.1048284537829307,-1.1790087384748793,-0.2119424345990992,-0.107281123620036,-0.11621520002495939
BOSQUES DEL LIMONAR E17,-0.05699064849370995,-1.4554566533402287,-0.10927322372132997,-0.04414251675754157,-0.07316747170030015
BRETAÑA E9,-0.03807843648832019,-1.2069706840218133,-0.13113154032325358,-0.03908559097359209,-0.07908522678205394
BRISAS DE LOS ALAMOS E2,-0.056370851990922254,-0.8807958407353754,-0.13214486440038303,-0.04360254311040011,-0.08390657209281108
BRISAS DE MAYO E20,-0.06620734735639058,-1.288813129304764,-0.1361724164926435,-0.048143000785114326,-0.10224353678449993
BRISAS DEL LIMONAR E16,-0.08459728167060687,-1.6446805528120652,-0.14484044064907245,-0.035239019247777476,-0.10519784234669505
BRISAS DEL RIO (23-3),-0.15965652663118718,-2.4936794394088433,-0.48678791960319084,0.011305980358540163,-0.11083069917545303
BUENOS AIRES E18,-0.0620688241686465,-1.4596830485125742,-0.1509421085454278,-0.03159065233458251,-0.051766510671948124
CALDAS E18,-0.056737428566458754,-1.3409617531068132,-0.0936666959041356,-0.043334755932499365,-0.05912593348004307
CALIMA E4,-0.03566446019465756,-1.0736192729588994,-0.09299305246151607,-0.03700604757775848,-0.04339977517513301
CALIMIO DESEPAZ E21,-0.05888060311749527,-1.0797473719607042,-0.09931475296078807,-0.026976825224434064,-0.05986297786447573
CALYPSO E13,-0.07700408918755111,-1.0728633176203135,-0.08983228878222602,-0.03803980973118042,-0.05392010168297517
CAMINO REAL - J BORRERO E19,-0.04857647416934027,-1.5114399853294187,-0.13887907730238802,-0.0350809952292857,-0.03629020955603427
CAMINO REAL - LOS FUNDADORES E19,-0.05680969184366084,-1.2693687745766353,-0.12339603705468985,-0.043409194224871335,-0.06179704314565963
CANDELARIA,-0.05680547479994672,-2.3976740192714177,-0.2327719545706992,-0.16975140430204408,-0.2691254065915837
CANEY E17,-0.04597851065088292,-1.1221323303519337,-0.0836594898472203,-0.04004854839436319,-0.05179011224950637
CARCEL VILLA HERMOSA E11,-0.12793986573296187,-1.0890804301944212,-0.30844119553708593,-0.0971088688614289,-0.09354830622005564
CAÑAVERAL - BELLA SUIZA E19,-0.06409964166842004,-2.1283134037741065,-0.15432467683703746,-0.03259776747834494,-0.08648588677567899
CAÑAVERALEJO - SEGUROS P. E19,-0.05832153295785067,-1.5443083202121208,-0.11691614879781012,-0.04104158808130191,-0.05009637126962725
CAÑAVERALEJO GUADALUPE E19,-0.0753816358313454,-1.4002820214582785,-0.10687234993622236,-0.04815283863196783,-0.06478404124757077
CAÑAVERALES - LOS SAMANES E17,-0.049219528149721706,-1.163542979702324,-0.1203567710438353,-0.04112021851672837,-0.06461497773658481
CEMENTERIO CARABINEROS E20,-0.058416614893432826,-2.7516777174996725,-0.082155487314258,-0.09648535276723469,-0.08964686219159863
CENTENARIO E2,-0.038873581244609746,-1.3928778064727119,-0.06712061441820072,-0.035657422947651715,-0.05824163468466581
CENTENARIO E24,-0.10329428539391768,-1.4364081605661592,-0.610196916804704,-0.20308820947620382,-0.13713750420017076
