Barrio,Edad,Sexo,Mes,Dia,Hora
BERLIN  C-4,-0.06690711703326356,-1.4982050026513019,-0.12389055104145083,-0.033468740184968704,-0.06369152330241414
BERMEJAL - LOS ALAMOS  C-4,-0.10103655855455801,-1.5974649805323549,-0.14407467948169062,-0.07339045580223948,-0.08026068060225261
BETANIA C-13,-0.11210279641024272,-2.443724398042133,-0.10927946457366106,-0.01682156960198816,-0.08526545499910926
BLANQUIZAL C-13,-0.06545175705409907,-1.5977047842617336,-0.1690883424623803,-0.0696612195025289,-0.11170316196032301
BOLIVARIANA C-11,-0.05302112514284903,-0.9242422659957292,-0.09214540660788798,-0.0451067613643104,-0.044781179812156395
BOMBONA 1 C-10,-0.04723763885054265,-1.216257688312759,-0.11555040490039291,-0.03577748404775782,-0.039534340495501884
BOMBONA 2  C-9,-0.0928797163057525,-1.2895084510822916,-0.12020706895168734,-0.04063993947495841,-0.0703901487350411
BOSQUES DE CASTILLA E-8,-0.2797423231211076,-1.3757822024504638,-0.25652672963365586,0.020747066712566382,-0.1142928119716438
BOSQUES DE SAN PABLO C-7,-0.08438036767398323,-1.2980151486820808,-0.11478743783119384,-0.044611830325233595,-0.048909154658630785
BOSQUES DE ZUÑIGA,0.02890762608593711,-8.643051876550265,-0.0988215812671769,0.013639779351642754,-0.0973001456219292
BOSTON C-10,-0.04111381565616503,-0.887341538366181,-0.09511536467315482,-0.027683981579138314,-0.038234375425860015
BOYACA C-5,-0.0653657128870808,-1.3341211119727006,-0.15297876929034654,-0.036415784965791634,-0.0771681685130959
BRASILIA  C-4,-0.06874513414739701,-1.4269177236287907,-0.12055234597247998,-0.04404376501679508,-0.07716969117073132
BUENOS AIRES,-0.008385868049135263,-168.86291159878115,13.361127361549082,0.04633438744410639,0.05002260438333161
BUENOS AIRES  C-9,-0.05053573297738841,-1.1424237932957515,-0.0741505216465191,-0.028744881366069605,-0.05510142786780142
CABUYAL,0.027149509241728903,-2.6432021868596602,-0.8156007626834058,-2.515833939748213,-0.0169154029758559
CALASANZ C-12,-0.0451238058950106,-1.196469559544913,-0.1272165257771923,-0.03762333105797778,-0.049132950128917184
CALASANZ PARTE ALTA C-12,-0.10100094253776393,-1.7107185292682359,-0.0931176966533765,-0.07150190064435218,-0.05926221593040614
CALAZANS C-12,-0.05712614963527977,-1.727904986136489,-0.09916102037918861,-0.04530578838519937,-0.03506999965391537
CALLE DEL BANCO,-0.007925820860628856,-121.00305894136228,11.678328516913382,-22.895605542381123,-0.09031371407105883
CALLE LARGA,-0.3402350190797452,-1.0349128757898778,0.05928863490373389,-0.17001820215397823,-0.051727936344402516
CALLE NUEVA C-10,-0.040644197228695216,-1.0207995472370843,-0.11975132888191757,-0.034422100300721084,-0.05465532522598732
CAMPO ALEGRE C-12,-0.08382092197133124,-1.5449987254245756,-0.12178066511527973,-0.03880570647803334,-0.07045111955232762
CAMPO AMOR C-15,-0.05023979036656703,-1.0231334065338742,-0.1014860193646275,-0.03277572055893363,-0.055349468611185185
CAMPO VALDES 1  C-4,-0.04756579293063824,-1.1237686454954592,-0.11676731270167441,-0.043016777229105366,-0.07355303272515007
CAMPO VALDES 2 C-3,-0.06160530054221342,-1.0755072237412298,-0.1454911791992098,-0.060004971704382536,-0.08606793808295697
CARACOLI S.C.,-0.10325562587083388,-3.0411065181369743,-0.07972591585948385,-0.06432087533179923,-0.07731112020005336
CARIBE C-5,-0.03750620069254343,-0.7748334242412599,-0.09013531600169361,-0.025014276752033958,-0.04786283667302582
CARLOS E. RESTREPO C-11,-0.059505469707274584,-0.9432268749111409,-0.0975362862013022,-0.03459131503353053,-0.036579741422535415
CARPINELO C-1,-0.06880864155379993,-1.8364363264407302,-0.2166895951933692,-0.06555720084757759,-0.10286354119166867
CASTILLA C-5,-0.042524608414407326,-0.8599394792505849,-0.09969536311637629,-0.027624463543705756,-0.05289563463445594
