,Departamento,Capital,Barrio,long,lat
96,VALLE,CALI (CT),UNION DE VIVIENDA POPULAR E16,-76.50956515839151,3.41043925
97,VALLE,CALI (CT),COLSEGUROS ANDES E10,-76.52928152610987,3.4271185
98,VALLE,CALI (CT),PRADOS DEL LIMONAR E17,-76.52840771693448,3.38937135
99,VALLE,CALI (CT),LAS CEIBAS E7,-76.48843268032894,3.4560828000000003
100,VALLE,CALI (CT),EL JARDIN E11,-76.51716928675044,3.4242757000000004
101,VALLE,CALI (CT),VERSALLES E2,-76.52815114341881,3.46083535
103,VALLE,CALI (CT),PARCELACIONES PANCE E22,-76.53715925704736,3.34764505
105,VALLE,CALI (CT),SANTA RITA E2,-76.55358049015706,3.4514692000000005
106,VALLE,CALI (CT),ANTONIO NARIÑO E16,-76.50541729999999,3.4144174
107,VALLE,CALI (CT),EL TREBOL E8,-76.49531094134286,3.4425681000000004
108,VALLE,CALI (CT),ATANASIO GIRARDOT E8,-76.50800663569096,3.44478275
109,VALLE,CALI (CT),OLIMPICO E10,-76.53251536345473,3.4220462
111,VALLE,CALI (CT),CHARCO AZUL E13,-76.48542186648477,3.4415527999999997
113,VALLE,CALI (CT),EL LIDO E19,-76.55102977861367,3.41913445
114,VALLE,CALI (CT),PIZAMOS III - LAS DALIAS E21,-76.4752702727992,3.40770675
115,VALLE,CALI (CT),SALOMIA E4,-76.50486029640531,3.4638946500000003
116,VALLE,CALI (CT),AGUABLANCA E11,-76.51810338357964,3.4319303000000003
117,VALLE,CALI (CT),RAFAEL URIBE URIBE E8,-76.51214447736257,3.43895965
118,VALLE,CALI (CT),DIAMANTE E13,-76.50286793002766,3.4208265
120,VALLE,CALI (CT),EL RODEO E12,-76.50411580273138,3.4360261000000003
122,VALLE,CALI (CT),SANTO DOMINGO E10,-76.53221614656664,3.4125995500000004
123,VALLE,CALI (CT),INDUSTRIA DE LICORES E4,-76.51949422059627,3.4627085
124,VALLE,CALI (CT),LOURDES E18,-76.55598784593572,3.3916956000000003
125,VALLE,CALI (CT),SANTA FE E8,-76.50538370600017,3.44054555
127,VALLE,CALI (CT),CENTENARIO E2,-76.53647620567902,3.45322895
129,VALLE,CALI (CT),LA ISLA E4,-76.51370644743886,3.47315825
130,VALLE,CALI (CT),ALTO NAPOLES E18,-76.5586674,3.3838157999999994
134,VALLE,CALI (CT),BRETAÑA E9,-76.53186303434731,3.4374417
135,VALLE,CALI (CT),LOS PINOS E7,-76.48460264364955,3.45796455
136,VALLE,CALI (CT),LA HACIENDA E17,-76.52947149739519,3.3947721
137,VALLE,CALI (CT),LA INDEPENDENCIA E11,-76.51837579848484,3.4168942
139,VALLE,CALI (CT),LOS GUAYACANES E5,-76.4897053796682,3.47267365
140,VALLE,CALI (CT),EUCARISTICO E19,-76.54031826762699,3.4249097
141,VALLE,CALI (CT),LOS CHORROS E18,-76.55558405482489,3.39393135
142,VALLE,CALI (CT),UNICENTRO CALI E17,-76.53944180085918,3.37718195
144,VALLE,CALI (CT),BRISAS DE MAYO E20,-76.5642531,3.4174998999999997
145,VALLE,CALI (CT),LILI E17,-76.51966104647525,3.3706383
148,VALLE,CALI (CT),EL REFUGIO E19,-76.55159486151041,3.39813895
149,VALLE,CALI (CT),LA GRAN COLOMBIA E11,-76.50644014343351,3.4220323500000003
151,VALLE,CALI (CT),BRISAS DE LOS ALAMOS E2,-76.50404878106056,3.4932042
155,VALLE,CALI (CT),LOS ANDES E5,-76.49945350746138,3.47065385
156,VALLE,CALI (CT),ALTOS DE MENGA E2,-76.53421650306686,3.48976795
157,VALLE,CALI (CT),BENJAMIN HERRERA E8,-76.5159934788002,3.4470645500000003
158,VALLE,CALI (CT),POPULAR E4,-76.51193039983295,3.46969115
159,VALLE,CALI (CT),URBANIZACION BOYACA E11,-76.51977388869932,3.4230906
160,VALLE,CALI (CT),LAS ORQUIDEAS E14,-76.47624852581811,3.4147322
161,VALLE,CALI (CT),ALFEREZ REAL E18,-76.54564408006658,3.3889311
162,VALLE,CALI (CT),EL SENA E5,-76.50087964839743,3.46574545
163,VALLE,CALI (CT),EL BOSQUE E2,-76.52936837937173,3.4856852
